indicator_slug,indicator_title,category,release_frequency,stance_state,typical_release_window,main_metric_value,unit_suffix,previous_value,delta_value,delta_display,trend_direction,trend_badge_style,target_anchor,narrative_commentary,source_label,source_url,observation_period,release_date,next_expected_release,data_status,verification_status,research_notes,publish
bank-credit-growth,Bank Credit Growth,MONETARY,FORTNIGHTLY,Strong credit offtake,Alternate Fridays with RBI WSS,19.1,% y-o-y,18.3,0.8,+0.8 pp fortnight-on-fortnight,up,positive,MacroNest anchor: credit growth aligned with deposit growth,"Year-on-year growth in outstanding credit of scheduled commercial banks, a direct read on transmission of monetary policy into the real economy.",RBI — Weekly Statistical Supplement,https://www.rbi.org.in/scripts/BS_viewWss.aspx,Fortnight ended 31 Aug 2026,2026-09-11,Expected: 2026-09-25,provisional,cross_checked,"Conflict resolved: 19.1% refers to the fortnight ended 31 Aug (not 4 Sep). Outstanding ~₹223.9 lakh crore; credit rose ~₹3.8 trillion in the fortnight. Previous 18.3% at 15 Aug (Mint rounds it to 18%). Cross-checked across Business Standard, Mint and Deccan Chronicle. Data for 15 Sep fortnight due this week. RBI WSS not read directly.",FALSE
bank-deposit-growth,Bank Deposit Growth,MONETARY,FORTNIGHTLY,Deposit growth at 15-year high,Alternate Fridays with RBI WSS,17.8,% y-o-y,14.7,3.1,+3.1 pp fortnight-on-fortnight,up,positive,MacroNest anchor: deposit growth keeping pace with credit,"Year-on-year growth in aggregate deposits of scheduled commercial banks, the funding base for bank lending.",RBI — Weekly Statistical Supplement,https://www.rbi.org.in/scripts/BS_viewWss.aspx,Fortnight ended 31 Aug 2026,2026-09-11,Expected: 2026-09-25,provisional,cross_checked,"Conflict resolved: 17.8% refers to the fortnight ended 31 Aug. Outstanding ~₹278.7 lakh crore; deposits rose ~₹9.4-9.5 trillion in the fortnight, driven by FCNR(B) inflows before RBI's concessional swap window closed on 31 Aug. Previous 14.7% at 15 Aug. Cross-checked across Business Standard, Rediff and Mint. RBI WSS not read directly.",FALSE
repo-rate,RBI Repo Rate,MONETARY,MPC,"Neutral stance, extended pause",After each RBI MPC meeting (bimonthly),5.25,%,5.25,0.00,0.00 pp (unchanged),flat,neutral,RBI inflation target: 4% ±2%,The rate at which the RBI lends overnight to banks against government securities. The benchmark policy rate that anchors all other lending rates in the system.,RBI — Monetary Policy Committee Resolution,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx,"62nd MPC meeting, 3-5 Aug 2026",2026-08-05,2026-10-07,final,cross_checked,"Unanimous 6-0 hold; fourth consecutive pause. SDF 5.00%, MSF and Bank Rate 5.50%, stance neutral. Next MPC scheduled 5-7 Oct 2026 with the resolution on 7 Oct. RBI press release listing page returns stale cached content; verify the resolution URL before publishing.",TRUE
gdp-growth,Real GDP Growth,REAL ECONOMY,QUARTERLY,"Strong, above RBI projection",Last working day of the second month after quarter end,7.8,% y-o-y,6.9,0.9,+0.9 pp vs year-ago quarter,up,positive,RBI Q1 FY27 projection: 7.0%,Year-on-year growth in real gross domestic product at constant 2022-23 prices. The headline measure of aggregate economic output.,MoSPI/NSO — Quarterly GDP Estimates,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1788172583113_d65a77cf-240e-4491-82ee-59f78618fa41_Press_Note_on_GDP_Estimates_for_Q1_2026-27.pdf,Q1 FY2026-27,2026-08-31,Expected: 2026-11-30,provisional,verified_official,"previous_value is the year-ago quarter growth rate (Q1 FY2025-26 = 6.9%), the economically appropriate comparison for a YoY growth series, not the sequential quarter. Real GVA +8.2%, nominal GDP +10.3%, real GDP Rs 81.36 lakh crore. Beat RBI's 7.0% projection.",TRUE
current-account-deficit,Current Account Deficit,EXTERNAL,QUARTERLY,"Contained, modestly wider",~2-3 months after quarter end,0.5,% of GDP,0.4,0.1,+0.1 pp vs year-ago quarter,up,neutral,MacroNest anchor: CAD below 2% of GDP,"Net balance on trade in goods and services plus income and transfers, expressed as a share of GDP. A contained deficit signals a sustainable external position.",RBI — Developments in India's Balance of Payments,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx,Q1 FY2026-27,2026-09-01,Expected: 2026-12-31,provisional,cross_checked,"CAD $4.2 bn (0.5% of GDP) vs $3.4 bn (0.4%, revised) a year earlier; merchandise trade deficit widened to $86.1 bn from $68.9 bn. One secondary outlet reported $3.1 bn for the same quarter — treated as erroneous since Reuters, PTI and ANI all quote the RBI release at $4.2 bn. RBI press release listing page returned stale cache; link the specific BoP release when available.",TRUE
usd-inr-reference-rate,USD/INR Reference Rate,MARKETS,DAILY,Rupee under pressure,Business days (~1:30 PM IST),95.8179,₹ per USD,95.7991,0.0188,+0.0188 ₹ DoD (rupee weaker),up,warning,No official target (managed float),"RBI's official daily reference rate for the rupee against the US dollar, used as the benchmark for settlement and valuation.",FBIL reference rate (via NSE RBI Reference Rate Statistics),https://www.nseindia.com/report-detail/rbi-reference-rate-statistics,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,"22 Sep 2026 reference rate 95.8179 (GBP 128.1223, EUR 109.8252, JPY100 60.79); 21 Sep 95.7991; 18 Sep 95.7910. Delta now available. Interbank spot closed stronger at ~95.58 provisional on 22 Sep, so the reference rate (fixed ~1:30 PM) and close diverge. Row was previously held back only for the missing delta — ready to review for publish.",FALSE
gsec-10y-yield,10-Year G-Sec Yield,MARKETS,DAILY,Yields easing from recent highs,"Business days (FBIL par yield curve, ~6:00 PM)",7.02,%,7.05,-0.04,-0.04 pp DoD,down,neutral,No official target,"Benchmark yield on ten-year Government of India securities, the reference rate for long-term borrowing costs across the economy.",FBIL — G-Sec Par Yield Curve,https://www.fbil.org.in/,2026-09-22,2026-09-22,Expected: 2026-09-23,provisional,needs_review,"Market close 22 Sep 7.016% vs 7.054% on 21 Sep (Investing.com); Trading Economics shows 7.04% (-0.03) for the same day, so size of the fall differs slightly between sources. Up ~56 bps YoY. Official FBIL par yield file not read directly — confirm before publishing.",FALSE
nifty-50,Nifty 50,MARKETS,DAILY,"Range-bound, mild pullback","Trading days (close, 3:30 PM IST)",23329.00,index,23414.30,-85.30,-0.36% DoD,down,neutral,No official target,"Closing level of the NSE's 50-stock benchmark index, the standard gauge of large-cap Indian equity performance.",NSE — Market Indices,https://www.nseindia.com/reports-indices-historical-vix,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,"Weekly F&O expiry day; indicative price dipped ~1% intraday before recovering. 21 Sep close 23414.30 (+67.90). NSE site bot-gated; cross-checked against Moneycontrol, Economic Times and Business Standard.",TRUE
sensex,BSE Sensex,MARKETS,DAILY,Mild pullback after Monday rally,"Trading days (close, 3:30 PM IST)",74529.08,index,74858.99,-329.91,-0.44% DoD,down,neutral,No official target,"Closing level of the BSE's 30-stock benchmark index, the longest-running headline gauge of Indian equity market sentiment.",BSE — Indices,https://www.bseindia.com/,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,21 Sep close 74858.99 (+564.03) after six weekly declines; gave back 330 pts on 22 Sep. Cross-checked across Business Standard and Economic Times.,TRUE
india-vix,India VIX,MARKETS,DAILY,Low volatility regime,"Trading days (close, 3:30 PM IST)",11.00,index,11.25,-0.25,-2.2% DoD,down,positive,MacroNest anchor: below 15 indicates calm markets,"Expected 30-day volatility of the Nifty 50 implied by index option prices. Lower readings indicate calmer expectations, higher readings signal stress.",NSE — India VIX Historical,https://www.nseindia.com/reports-indices-historical-vix,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,"Falling volatility is read as economically positive, hence badge 'positive' despite trend_direction 'down'. Day range 10.62-11.41; 52-week range 8.72-28.91. NSE page bot-gated; cross-checked against Upstox and Anand Rathi.",TRUE
fpi-net-flows,FPI Net Flows,MARKETS,DAILY,Sustained foreign selling,"Business days (NSDL, evening)",-20974,₹ crore net,-13138,-7836,"-₹7,836 crore vs prior week MTD",down,warning,No official target,"Net purchases minus sales of Indian equities and debt by foreign portfolio investors, a high-frequency read on external risk appetite towards India.",NSDL — FPI Investment Statistics,https://www.fpi.nsdl.co.in/web/Reports/Latest.aspx,September 2026 MTD equity (to 18 Sep),2026-09-20,Expected: 2026-09-27 (weekly NSDL summary),provisional,needs_review,"Now populated from NSDL-based PTI weekly summary (The Hindu, Times of India, NDTV Profit): equity MTD -₹20,974 crore to 18 Sep vs -₹13,138 crore a week earlier. Debt also negative (FAR -₹10,296 cr, VRR -₹1,817 cr). CY2026 equity outflow ~₹2.45 lakh crore. Exchange provisional FII cash data since then: -₹576 cr (21 Sep), -₹3,810 cr (22 Sep). Still one syndicated source and NSDL page not read directly — verify before publishing.",FALSE
unemployment-rate,Unemployment Rate,EMPLOYMENT,MONTHLY,Easing labour market slack,15th of following month,5.0,%,5.1,-0.1,-0.1 pp MoM,down,positive,MacroNest anchor: below 5% headline UR,"Share of the labour force aged 15 and above that is unemployed, measured on the Current Weekly Status basis in the monthly PLFS bulletin.",MoSPI/NSO — PLFS Monthly Bulletin,https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2310427&reg=3&lang=1,August 2026,2026-09-15,2026-10-15,provisional,verified_official,"Rural UR 4.1% (lowest since Jan 2026), urban UR 6.8% (up from 6.7%). LFPR rose to 55.6% from 55.4%, WPR to 52.8% from 52.5%. Next release date from MoSPI Advance Release Calendar 2026-27.",TRUE
essential-commodity-prices,Essential Commodity Prices,INFLATION,DAILY,Monitoring,Daily (Department of Consumer Affairs price monitoring),,₹ per kg,,,,na,neutral,MacroNest anchor: early warning for food inflation,"Daily retail prices of key food items collected across reporting centres, used as an early signal of food-price pressure ahead of the monthly CPI.",Dept. of Consumer Affairs — Price Monitoring Division,https://pricemonitoring.dca.gov.in/,,,Expected: 2026-09-21,unknown,needs_review,LEFT BLANK DELIBERATELY. This is a multi-commodity dashboard with no single headline number; MacroNest needs to decide which item or composite to track (e.g. all-India modal price of tomato/onion/pulses) before it can be populated. DCA portal is dynamic and was not machine-readable in this run.,FALSE
us-fed-funds-rate,US Federal Funds Rate,GLOBAL,FOMC,"Tightening resumed, one more hike signalled","After each FOMC meeting (8 per year, ~11:30 PM IST)",4.00,% (upper bound; range 3.75-4.00),3.75,0.25,+0.25 pp (hike),up,warning,Fed inflation target: 2% (PCE),"The US Federal Reserve's policy rate range. It drives global dollar liquidity, US bond yields and foreign portfolio flows into emerging markets like India.",Federal Reserve — FOMC Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20260916a.htm,"FOMC meeting, 15-16 Sep 2026",2026-09-16,2026-10-28,final,verified_official,"Unanimous 12-0 vote to raise by 25 bps to 3.75-4.00%, first hike since 2023; projections point to possibly one more hike this year (CNBC). Next FOMC 27-28 Oct, decision 28 Oct (Fed calendar). Hike cited as a driver of September FPI selling from India.",TRUE
us-cpi-inflation,US CPI Inflation,GLOBAL,MONTHLY,"Sticky, energy-driven",Mid-month (~6:00 PM IST),3.4,% y-o-y,3.4,0.0,0.0 pp MoM (unchanged),flat,warning,Fed inflation target: 2% (PCE),Year-on-year change in US consumer prices (CPI-U). The key input into Federal Reserve rate decisions and global rate expectations.,US Bureau of Labor Statistics — CPI News Release,https://www.bls.gov/news.release/cpi.nr0.htm,August 2026,2026-09-11,2026-10-14,final,verified_official,"Headline +0.4% MoM SA (July +0.1%). Core CPI 2.4% YoY (from 2.5%), +0.3% MoM. September CPI scheduled 14 Oct 2026, 8:30 AM ET.",TRUE
us-nonfarm-payrolls,US Nonfarm Payrolls,GLOBAL,MONTHLY,"Hiring rebound, well above forecast",First Friday of month (~6:00 PM IST),162,thousand jobs MoM,21,141,+141k vs prior month's gain,up,positive,MacroNest anchor: 100k+/month = solid hiring,"Monthly change in US non-farm employment, the headline read on the strength of the world's largest economy.",US Bureau of Labor Statistics — Employment Situation,https://www.bls.gov/news.release/empsit.nr0.htm,August 2026,2026-09-04,2026-10-02,provisional,verified_official,Consensus was ~53-56k. July revised up from -23k to +21k; previous_value uses revised July. Subject to revision in the next two reports.,TRUE
us-unemployment-rate,US Unemployment Rate,GLOBAL,MONTHLY,Stable labour market,First Friday of month (~6:00 PM IST),4.1,%,4.1,0.0,0.0 pp MoM (unchanged),flat,neutral,Fed longer-run estimate: ~4%,"Share of the US labour force that is unemployed (U-3). Together with inflation, it frames the Federal Reserve's dual mandate.",US Bureau of Labor Statistics — Employment Situation,https://www.bls.gov/news.release/empsit.nr0.htm,August 2026,2026-09-04,2026-10-02,final,verified_official,"Unemployed persons ~7.0 million, little changed over the year.",TRUE
us-10y-treasury-yield,US 10-Year Treasury Yield,GLOBAL,DAILY,Elevated near 5%,"Business days (Fed H.15, next day)",4.96,%,5.01,-0.05,-0.05 pp DoD,down,neutral,No official target,"Yield on the benchmark 10-year US government bond, the global reference for long-term borrowing costs. Higher US yields tend to pull money out of emerging markets.",Federal Reserve — H.15 Selected Interest Rates,https://www.federalreserve.gov/releases/h15/,2026-09-21,2026-09-22,Expected: 2026-09-23,final,verified_official,"Constant-maturity series; 18 Sep 5.01%, 21 Sep 4.96%. Intraday 22 Sep market quotes ~4.93% (WSJ/Trading Economics) — official 22 Sep print due 23 Sep. ~0.8 pp higher than a year ago.",TRUE
us-dollar-index,US Dollar Index (DXY),GLOBAL,DAILY,Firm dollar,Trading days (ICE futures close),100.54,index,100.43,0.11,+0.11% DoD,up,warning,No official target,Value of the US dollar against a basket of six major currencies. A stronger dollar typically weighs on the rupee and emerging-market assets.,ICE US Dollar Index (via Barron's),https://www.barrons.com/market-data/indexes/dxy,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,"Cross-checked against Investing.com (22 Sep close 100.54, +0.11%). Up ~1.4% over the past month. Badge 'warning' reflects pressure on the rupee.",TRUE
brent-crude,Brent Crude Oil,GLOBAL,DAILY,"Elevated, easing from mid-Sep highs",Trading days (ICE futures close),98.73,$ per barrel,100.34,-1.61,-1.6% DoD,down,positive,MacroNest anchor: below $90/bbl eases India's import bill,"Price of the global benchmark crude oil. India imports most of its oil, so Brent directly affects inflation, the trade deficit and the rupee.",ICE Brent futures (via FT Markets Data),https://markets.ft.com/data/commodities/tearsheet/historical?c=Brent+Crude+Oil,2026-09-22,2026-09-22,Expected: 2026-09-23,final,cross_checked,"Falling from 108.75 on 15 Sep on hopes of US-Iran talks. Intraday range 97.43-102.30 on 22 Sep; late-session quotes differ by source (Trading Economics ~98.6-101.8), so settlement vs close timing matters. Badge 'positive' because lower oil helps India.",TRUE
gold-price,Gold (Spot),GLOBAL,DAILY,Consolidating below highs,Trading days (LBMA PM fix ~8:30 PM IST),4322.82,$ per troy ounce,4342.83,-20.01,-0.46% DoD,down,neutral,No official target,International spot gold price. A safe-haven asset and a large item in India's import bill and household savings.,"PriceGold.net (spot, daily)",https://pricegold.net/2026/september/,2026-09-22,2026-09-22,Expected: 2026-09-23,provisional,needs_review,"Spot quotes for 22 Sep differ across sources ($4,317-$4,362); LBMA PM fix (the official benchmark) is licensed and not readable. Last week LBMA PM ended at ~$4,348 (Scrapmonster). Take the LBMA PM fix before publishing.",FALSE
ecb-deposit-rate,ECB Deposit Facility Rate,GLOBAL,ECB MEETING,Tightening on energy-driven inflation,After each ECB Governing Council meeting (~5:45 PM IST),2.50,%,2.25,0.25,+0.25 pp (hike),up,warning,ECB inflation target: 2%,"The European Central Bank's main policy rate for the euro area, the second-largest bloc of global monetary policy after the Fed.",European Central Bank — Monetary Policy Decisions,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260910~314e508016.en.html,"Governing Council meeting, 10 Sep 2026",2026-09-10,2026-10-29,final,verified_official,"All three key rates raised 25 bps: deposit 2.50%, MRO 2.65%, MLF 2.90%, effective 16 Sep 2026. Next monetary policy meeting 28-29 Oct (ECB calendar).",TRUE
china-manufacturing-pmi,China Official Manufacturing PMI,GLOBAL,MONTHLY,Contraction easing,Last day of month (~7:00 AM IST),49.8,index,49.2,0.6,+0.6 index pts MoM,up,neutral,50 = no change threshold,National Bureau of Statistics survey of Chinese factory activity. A read on demand in the world's second-largest economy and on global commodity prices.,National Bureau of Statistics of China — PMI Release,https://www.stats.gov.cn/english/PressRelease/202609/t20260901_1965170.html,August 2026,2026-08-31,2026-09-30,final,verified_official,Still below 50 but improving; output (50.4) and new orders (50.6) returned to expansion. Large enterprises 50.6. Next release 30 Sep 2026.,TRUE
