indicator_slug,indicator_title,category,release_frequency,stance_state,typical_release_window,main_metric_value,unit_suffix,previous_value,delta_value,delta_display,trend_direction,trend_badge_style,target_anchor,narrative_commentary,source_label,source_url,observation_period,release_date,next_expected_release,data_status,verification_status,research_notes,publish
bank-credit-growth,Bank Credit Growth,MONETARY,FORTNIGHTLY,Strong credit offtake,Alternate Fridays with RBI WSS,,% y-o-y,,,,na,neutral,MacroNest anchor: credit growth aligned with deposit growth,"Year-on-year growth in outstanding credit of scheduled commercial banks, a direct read on transmission of monetary policy into the real economy.",RBI — Weekly Statistical Supplement,https://www.rbi.org.in/scripts/BS_viewWss.aspx,,,Expected: 2026-09-25,unknown,needs_review,"LEFT BLANK DELIBERATELY. Sources conflict: fortnight ended 15 Aug 2026 reported at 18.3% YoY (from 19.3% at July-end), while a later summary of the 11 Sep WSS reports 19.1% YoY for the fortnight ended 4 Sep with internally inconsistent rupee figures. RBI WSS not directly readable. Pull Table 5 of the latest WSS manually.",FALSE
bank-deposit-growth,Bank Deposit Growth,MONETARY,FORTNIGHTLY,Moderating deposit mobilisation,Alternate Fridays with RBI WSS,,% y-o-y,,,,na,neutral,MacroNest anchor: deposit growth keeping pace with credit,"Year-on-year growth in aggregate deposits of scheduled commercial banks, the funding base for bank lending.",RBI — Weekly Statistical Supplement,https://www.rbi.org.in/scripts/BS_viewWss.aspx,,,Expected: 2026-09-25,unknown,needs_review,LEFT BLANK DELIBERATELY. Same conflict as bank-credit-growth: 14.7% YoY for fortnight ended 15 Aug 2026 (from 15.4%) versus 17.8% attributed to the fortnight ended 4 Sep. Verify against the latest RBI WSS directly.,FALSE
repo-rate,RBI Repo Rate,MONETARY,MPC,"Neutral stance, extended pause",After each RBI MPC meeting (bimonthly),5.25,%,5.25,0.00,0.00 pp (unchanged),flat,neutral,RBI inflation target: 4% ±2%,The rate at which the RBI lends overnight to banks against government securities. The benchmark policy rate that anchors all other lending rates in the system.,RBI — Monetary Policy Committee Resolution,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx,"62nd MPC meeting, 3-5 Aug 2026",2026-08-05,2026-10-07,final,cross_checked,"Unanimous 6-0 hold; fourth consecutive pause. SDF 5.00%, MSF and Bank Rate 5.50%, stance neutral. Next MPC scheduled 5-7 Oct 2026 with the resolution on 7 Oct. RBI press release listing page returns stale cached content; verify the resolution URL before publishing.",TRUE
gdp-growth,Real GDP Growth,REAL ECONOMY,QUARTERLY,"Strong, above RBI projection",Last working day of the second month after quarter end,7.8,% y-o-y,6.9,0.9,+0.9 pp vs year-ago quarter,up,positive,RBI Q1 FY27 projection: 7.0%,Year-on-year growth in real gross domestic product at constant 2022-23 prices. The headline measure of aggregate economic output.,MoSPI/NSO — Quarterly GDP Estimates,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1788172583113_d65a77cf-240e-4491-82ee-59f78618fa41_Press_Note_on_GDP_Estimates_for_Q1_2026-27.pdf,Q1 FY2026-27,2026-08-31,Expected: 2026-11-30,provisional,verified_official,"previous_value is the year-ago quarter growth rate (Q1 FY2025-26 = 6.9%), the economically appropriate comparison for a YoY growth series, not the sequential quarter. Real GVA +8.2%, nominal GDP +10.3%, real GDP Rs 81.36 lakh crore. Beat RBI's 7.0% projection.",TRUE
current-account-deficit,Current Account Deficit,EXTERNAL,QUARTERLY,"Contained, modestly wider",~2-3 months after quarter end,0.5,% of GDP,0.4,0.1,+0.1 pp vs year-ago quarter,up,neutral,MacroNest anchor: CAD below 2% of GDP,"Net balance on trade in goods and services plus income and transfers, expressed as a share of GDP. A contained deficit signals a sustainable external position.",RBI — Developments in India's Balance of Payments,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx,Q1 FY2026-27,2026-09-01,Expected: 2026-12-31,provisional,cross_checked,"CAD $4.2 bn (0.5% of GDP) vs $3.4 bn (0.4%, revised) a year earlier; merchandise trade deficit widened to $86.1 bn from $68.9 bn. One secondary outlet reported $3.1 bn for the same quarter — treated as erroneous since Reuters, PTI and ANI all quote the RBI release at $4.2 bn. RBI press release listing page returned stale cache; link the specific BoP release when available.",TRUE
usd-inr-reference-rate,USD/INR Reference Rate,MARKETS,DAILY,Rupee under pressure,Business days (~1:30 PM IST),95.7910,₹ per USD,,,,na,neutral,No official target (managed float),"RBI's official daily reference rate for the rupee against the US dollar, used as the benchmark for settlement and valuation.",RBI — Reference Rate Archive,https://www.rbi.org.in/scripts/referenceratearchive.aspx,2026-09-18,2026-09-18,Expected: 2026-09-21,final,cross_checked,"Latest value confirmed for 18 Sep 2026 (also EUR 109.9885, GBP 128.0882, JPY100 60.99). Previous business day's reference rate could not be retrieved, so delta is left blank rather than estimated. RBI archive page requires a form POST.",FALSE
gsec-10y-yield,10-Year G-Sec Yield,MARKETS,DAILY,Yields drifting higher,"Business days (FBIL par yield curve, ~6:00 PM)",7.07,%,,,,na,neutral,No official target,"Benchmark yield on ten-year Government of India securities, the reference rate for long-term borrowing costs across the economy.",FBIL — G-Sec Par Yield Curve,https://www.fbil.org.in/,2026-09-18,2026-09-18,Expected: 2026-09-21,final,needs_review,"Level ~7.07% is consistent across sources (up ~56 bps YoY, ~+24 bps MoM) but the daily direction conflicts: one source shows -0.01 pp on the session, another +0.016. Previous-session value and delta withheld. Take the official FBIL par yield file for 18 Sep before publishing.",FALSE
nifty-50,Nifty 50,MARKETS,DAILY,"Range-bound, mild uptrend","Trading days (close, 3:30 PM IST)",23346.40,index,23270.60,75.80,+0.33% DoD,up,positive,No official target,"Closing level of the NSE's 50-stock benchmark index, the standard gauge of large-cap Indian equity performance.",NSE — Market Indices,https://www.nseindia.com/reports-indices-historical-vix,2026-09-18,2026-09-18,Expected: 2026-09-21,final,cross_checked,"Third consecutive advancing session. Previous close derived as 23346.40 - 75.80. NSE site is bot-gated; close cross-checked across Business Standard, The Hindu and Kotak Neo.",TRUE
sensex,BSE Sensex,MARKETS,DAILY,"Flat, mixed leadership","Trading days (close, 3:30 PM IST)",74294.96,index,74314.59,-19.63,-0.03% DoD,down,neutral,No official target,"Closing level of the BSE's 30-stock benchmark index, the longest-running headline gauge of Indian equity market sentiment.",BSE — Indices,https://www.bseindia.com/,2026-09-18,2026-09-18,Expected: 2026-09-21,final,cross_checked,Gave up a 413-point intraday gain in the closing auction session; IT and Tata group counters weighed. Cross-checked across three outlets.,TRUE
india-vix,India VIX,MARKETS,DAILY,Low volatility regime,"Trading days (close, 3:30 PM IST)",11.39,index,12.29,-0.90,-7.4% DoD,down,positive,MacroNest anchor: below 15 indicates calm markets,"Expected 30-day volatility of the Nifty 50 implied by index option prices. Lower readings indicate calmer expectations, higher readings signal stress.",NSE — India VIX Historical,https://www.nseindia.com/reports-indices-historical-vix,2026-09-18,2026-09-18,Expected: 2026-09-21,final,cross_checked,"Falling volatility is read as economically positive, hence badge 'positive' despite trend_direction 'down'. Day range 11.30-12.29. NSE page bot-gated; value cross-checked against Yahoo Finance NSE feed and broker reports.",TRUE
fpi-net-flows,FPI Net Flows,MARKETS,DAILY,Sustained foreign selling,"Business days (NSDL, evening)",,₹ crore net,,,,na,neutral,No official target,"Net purchases minus sales of Indian equities and debt by foreign portfolio investors, a high-frequency read on external risk appetite towards India.",NSDL — FPI Investment Statistics,https://www.fpi.nsdl.co.in/web/Reports/Latest.aspx,,,Expected: 2026-09-21,unknown,needs_review,"LEFT BLANK DELIBERATELY. The NSDL daily report page served a stale cached snapshot (Aug 2024) and secondary September 2026 month-to-date figures are mutually inconsistent (Rs -13,138 crore MTD to mid-Sep, Rs -23,676 crore through 19 Sep via exchanges, Rs -7,041 crore FII MTD). Calendar-2026 equity outflow reported at about Rs 2.37 lakh crore. Pull the NSDL daily/monthly report directly.",FALSE
unemployment-rate,Unemployment Rate,EMPLOYMENT,MONTHLY,Easing labour market slack,15th of following month,5.0,%,5.1,-0.1,-0.1 pp MoM,down,positive,MacroNest anchor: below 5% headline UR,"Share of the labour force aged 15 and above that is unemployed, measured on the Current Weekly Status basis in the monthly PLFS bulletin.",MoSPI/NSO — PLFS Monthly Bulletin,https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2310427&reg=3&lang=1,August 2026,2026-09-15,2026-10-15,provisional,verified_official,"Rural UR 4.1% (lowest since Jan 2026), urban UR 6.8% (up from 6.7%). LFPR rose to 55.6% from 55.4%, WPR to 52.8% from 52.5%. Next release date from MoSPI Advance Release Calendar 2026-27.",TRUE
essential-commodity-prices,Essential Commodity Prices,INFLATION,DAILY,Monitoring,Daily (Department of Consumer Affairs price monitoring),,₹ per kg,,,,na,neutral,MacroNest anchor: early warning for food inflation,"Daily retail prices of key food items collected across reporting centres, used as an early signal of food-price pressure ahead of the monthly CPI.",Dept. of Consumer Affairs — Price Monitoring Division,https://pricemonitoring.dca.gov.in/,,,Expected: 2026-09-21,unknown,needs_review,LEFT BLANK DELIBERATELY. This is a multi-commodity dashboard with no single headline number; MacroNest needs to decide which item or composite to track (e.g. all-India modal price of tomato/onion/pulses) before it can be populated. DCA portal is dynamic and was not machine-readable in this run.,FALSE
